Trial	Subject	Stimulus	Fixation  start [ms]	Fixation  duration [ms]	Fixation  end [ms]	Fixation Position XY X	Fixation Position XY Y	 word	Reading AOI number	Reading direction	Eye	
Trial009	Denek01	rc-n1forced-anim-1.jpg	511	132	643	551.3	435.1	Okulda	1	Progressive	Left	
Trial009	Denek01	rc-n1forced-anim-1.jpg	679	199	879	646.6	424.1	bağıran	2	Progressive	Left	
Trial009	Denek01	rc-n1forced-anim-1.jpg	919	184	1103	771.5	419.6	müdürün	3	Progressive	Left	
Trial009	Denek01	rc-n1forced-anim-1.jpg	1133	206	1339	870.7	423.0	caddenin	5	Progressive	Left	
Trial009	Denek01	rc-n1forced-anim-1.jpg	1369	648	2017	920.2	420.7	caddenin	5	Progressive	Left	
Trial009	Denek01	rc-n1forced-anim-1.jpg	2097	280	2378	1056.2	426.7	karşısında	6	Progressive	Left	
Trial009	Denek01	rc-n1forced-anim-1.jpg	2409	854	3264	1188.3	438.3	duyuldu.	7	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	524	194	718	545.6	440.0	Okulda	1	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	1104	332	1436	685.8	442.7	müdürün	3	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	1458	110	1569	606.9	446.4	bağıran	2	Regressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	1603	147	1751	722.1	446.0	müdürün	3	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	1777	156	1933	803.2	439.5	sesi	4	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	1955	306	2261	892.6	442.3	caddenin	5	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	2289	274	2563	988.5	433.8	karşısında	6	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	2707	94	2801	1074.2	426.6	karşısında	6	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	2845	129	2975	1124.7	437.6	duyuldu.	7	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	3011	122	3133	1132.5	433.3	duyuldu.	7	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	3247	106	3353	895.1	958.0	<buraya>	11	Progressive	Left	
Trial010	Deney02	rc-n1forced-anim-1.jpg	3379	388	3768	893.4	953.8	<buraya>	11	Regressive	Left	
Trial009	Denek03	rc-n1forced-anim-1.jpg	6191	160	6351	855.6	446.4	caddenin	5	Progressive	Left	
Trial009	Denek03	rc-n1forced-anim-1.jpg	6393	230	6623	925.7	448.8	caddenin	5	Progressive	Left	
Trial009	Denek03	rc-n1forced-anim-1.jpg	6665	180	6845	1051.7	446.4	karşısında	6	Progressive	Left	
Trial009	Denek03	rc-n1forced-anim-1.jpg	7842	259	8102	902.3	967.3	<buraya>	11	Progressive	Left	
Trial009	Denek04	rc-n1forced-anim-1.jpg	484	139	624	596.3	449.5	bağıran	2	Progressive	Left	
Trial009	Denek04	rc-n1forced-anim-1.jpg	836	196	1032	702.8	437.9	müdürün	3	Progressive	Left	
Trial009	Denek04	rc-n1forced-anim-1.jpg	1054	405	1459	728.4	449.6	müdürün	3	Progressive	Left	
Trial009	Denek04	rc-n1forced-anim-1.jpg	2128	400	2529	1017.6	451.5	karşısında	6	Progressive	Left	
Trial009	Denek04	rc-n1forced-anim-1.jpg	2557	242	2799	1142.5	446.3	duyuldu.	7	Progressive	Left	
Trial009	Denek04	rc-n1forced-anim-1.jpg	2873	269	3142	714.4	960.7	etmek	9	Progressive	Left	
Trial009	P03	rc-n1forced-anim-1.jpg	531	262	793	578.5	444.8	bağıran	2	Progressive	Left	
Trial009	P03	rc-n1forced-anim-1.jpg	847	400	1247	641.5	440.0	bağıran	2	Progressive	Left	
Trial009	P03	rc-n1forced-anim-1.jpg	1295	163	1459	756.1	436.6	müdürün	3	Progressive	Left	
Trial009	P03	rc-n1forced-anim-1.jpg	1493	162	1655	836.1	428.3	sesi	4	Progressive	Left	
Trial009	P03	rc-n1forced-anim-1.jpg	1691	326	2018	913.7	424.5	caddenin	5	Progressive	Left	
Trial009	P03	rc-n1forced-anim-1.jpg	2062	270	2332	1035.9	425.7	karşısında	6	Progressive	Left	
