"subject","trial","stimulus","rid","FFD","FFP","SFD","FPRT","RBRT","TFT","RPD","CRPD","RRT","RRTP","RRTR","RBRC","TRC","LPRT","experiment","word","attachment","animacy","wlen","prev_wlen","next_wlen","roiLabel","subj"
"Denek01","Trial007","rc-nonforced-anim-1.jpg",2,116,1,0,336,336,672,336,538,336,0,336,0,0,336,"rc","yıkanan","ambiguous","anim",7,7,7,"pre-critical","Denek01"
"Denek01","Trial007","rc-nonforced-anim-1.jpg",3,175,1,0,270,270,540,270,808,270,0,270,0,0,270,"rc","kadının","ambiguous","anim",7,7,4,"N1","Denek01"
"Denek01","Trial007","rc-nonforced-anim-1.jpg",4,0,0,0,0,0,0,0,808,0,0,0,0,0,0,"rc","oğlu","ambiguous","anim",4,7,3,"N2","Denek01"
"Denek01","Trial007","rc-nonforced-anim-1.jpg",5,95,1,0,95,95,190,95,903,95,0,95,0,0,95,"rc","dün","ambiguous","anim",3,4,5,"spillover","Denek01"
"Denek01","Trial009","rc-n1forced-anim-1.jpg",2,199,1,0,199,199,398,199,331,199,0,199,0,0,199,"rc","bağıran","N1 attachment","anim",7,6,7,"pre-critical","Denek01"
"Denek01","Trial009","rc-n1forced-anim-1.jpg",3,184,1,0,184,184,368,184,515,184,0,184,0,0,184,"rc","müdürün","N1 attachment","anim",7,7,4,"N1","Denek01"
"Denek01","Trial009","rc-n1forced-anim-1.jpg",4,0,0,0,0,0,0,0,515,0,0,0,0,0,0,"rc","sesi","N1 attachment","anim",4,7,8,"N2","Denek01"
"Denek01","Trial009","rc-n1forced-anim-1.jpg",5,206,1,0,854,854,1708,854,1369,854,0,854,0,0,854,"rc","caddenin","N1 attachment","anim",8,4,10,"spillover","Denek01"
"Denek01","Trial011","rc-n2forced-anim-1.jpg",2,0,0,0,0,0,0,0,103,0,0,0,0,0,0,"rc","yürüyen","N2 attachment","anim",7,7,5,"pre-critical","Denek01"
"Denek01","Trial011","rc-n2forced-anim-1.jpg",3,0,0,0,0,0,0,0,103,0,0,0,0,0,0,"rc","köyün","N2 attachment","anim",5,7,6,"N1","Denek01"
"Denek01","Trial011","rc-n2forced-anim-1.jpg",4,182,1,0,369,369,738,369,472,369,0,369,0,0,369,"rc","delisi","N2 attachment","anim",6,5,5,"N2","Denek01"
"Denek01","Trial011","rc-n2forced-anim-1.jpg",5,200,1,0,200,200,400,200,672,200,0,200,0,0,200,"rc","garip","N2 attachment","anim",5,6,10,"spillover","Denek01"
"Denek01","Trial013","rc-nonforced-nonanim-1.jpg",2,170,1,0,390,390,780,390,682,390,0,390,0,0,390,"rc","kirlenen","ambiguous","nonanim",8,6,5,"pre-critical","Denek01"
"Denek01","Trial013","rc-nonforced-nonanim-1.jpg",3,0,0,0,0,0,0,0,682,0,0,0,0,0,0,"rc","yolun","ambiguous","nonanim",5,8,6,"N1","Denek01"
"Denek01","Trial013","rc-nonforced-nonanim-1.jpg",4,354,1,0,667,667,1334,667,1349,667,0,667,0,0,667,"rc","etrafı","ambiguous","nonanim",6,5,8,"N2","Denek01"
"Denek01","Trial013","rc-nonforced-nonanim-1.jpg",5,338,1,0,338,338,676,338,1687,338,0,338,0,0,338,"rc","yemyeşil","ambiguous","nonanim",8,6,9,"spillover","Denek01"
"Denek01","Trial015","rc-n2forced-nonanim-1.jpg",2,177,1,0,177,177,354,177,312,177,0,177,0,0,177,"rc","yıkılan","N2 attachment","nonanim",7,8,8,"pre-critical","Denek01"
"Denek01","Trial015","rc-n2forced-nonanim-1.jpg",3,280,1,0,280,280,960,280,592,680,0,680,0,0,200,"rc","patronun","N2 attachment","nonanim",8,7,3,"N1","Denek01"
"Denek01","Trial015","rc-n2forced-nonanim-1.jpg",4,0,0,0,0,0,0,0,592,0,0,0,0,0,0,"rc","evi","N2 attachment","nonanim",3,8,5,"N2","Denek01"
"Denek01","Trial015","rc-n2forced-nonanim-1.jpg",5,208,1,0,208,770,1540,970,1562,1332,562,770,1,2,562,"rc","geçen","N2 attachment","nonanim",5,3,2,"spillover","Denek01"
