"Stimulus" "Reading.AOI.number" "word"
"410" "dist-orcop-3.jpg" 1 "Şoförün"
"411" "dist-orcop-3.jpg" 2 "akşam"
"413" "dist-orcop-3.jpg" 3 "cadde"
"415" "dist-orcop-3.jpg" 4 "ortasında"
"417" "dist-orcop-3.jpg" 5 "tartıştığı"
"419" "dist-orcop-3.jpg" 6 "polis"
"420" "dist-orcop-3.jpg" 7 "değildi."
"937" "dist-orcop-3.jpg" 8 "Devam"
"454" "dist-orcop-3.jpg" 9 "etmek"
"455" "dist-orcop-3.jpg" 10 "için"
"423" "dist-orcop-3.jpg" 11 "<buraya>"
"1779" "dist-orcop-6.jpg" 1 "Pazarda"
"1780" "dist-orcop-6.jpg" 2 "dün"
"1783" "dist-orcop-6.jpg" 3 "sabah"
"1786" "dist-orcop-6.jpg" 4 "manavın"
"1788" "dist-orcop-6.jpg" 5 "elmayı"
"1789" "dist-orcop-6.jpg" 6 "uzattığı"
"1791" "dist-orcop-6.jpg" 7 "kadın"
"1792" "dist-orcop-6.jpg" 8 "değildi."
"2267" "dist-orcop-6.jpg" 9 "Devam"
"1875" "dist-orcop-6.jpg" 11 "için"
"1809" "dist-orcop-6.jpg" 12 "<buraya>"
"2802" "dist-orcop-9.jpg" 1 "Terzinin"
"2794" "dist-orcop-9.jpg" 2 "dükkan"
"2795" "dist-orcop-9.jpg" 3 "önünde"
"2796" "dist-orcop-9.jpg" 4 "sertçe"
"2798" "dist-orcop-9.jpg" 5 "konuştuğu"
"2814" "dist-orcop-9.jpg" 6 "çırak"
"2800" "dist-orcop-9.jpg" 7 "değildi."
"3407" "dist-orcop-9.jpg" 10 "için"
"2822" "dist-orcop-9.jpg" 11 "<buraya>"
"11037" "dist-orthm-30.jpg" 1 "Geçen"
"11038" "dist-orthm-30.jpg" 2 "gün"
"11039" "dist-orthm-30.jpg" 3 "avukatın"
"11040" "dist-orthm-30.jpg" 4 "duruşmada"
"11043" "dist-orthm-30.jpg" 5 "savunduğu"
"11045" "dist-orthm-30.jpg" 6 "suçlu"
"11046" "dist-orthm-30.jpg" 7 "sanıldı."
"11073" "dist-orthm-30.jpg" 11 "<buraya>"
"12166" "dist-orthm-33.jpg" 1 "Müsteşarın"
"12174" "dist-orthm-33.jpg" 2 "yöneticilere"
"12168" "dist-orthm-33.jpg" 3 "şikayet"
"12169" "dist-orthm-33.jpg" 4 "ettiği"
"12171" "dist-orthm-33.jpg" 5 "bakan"
"12170" "dist-orthm-33.jpg" 6 "sanıldı."
"12424" "dist-orthm-33.jpg" 9 "için"
"12198" "dist-orthm-33.jpg" 10 "<buraya>"
"13329" "dist-orthm-36.jpg" 1 "Akşam"
"13330" "dist-orthm-36.jpg" 2 "kışlada"
"13332" "dist-orthm-36.jpg" 3 "komutanın"
"13334" "dist-orthm-36.jpg" 4 "yanına"
"13335" "dist-orthm-36.jpg" 5 "çağırdığı"
"13337" "dist-orthm-36.jpg" 6 "asker"
"13338" "dist-orthm-36.jpg" 7 "sanıldı."
"13392" "dist-orthm-36.jpg" 9 "etmek"
"13393" "dist-orthm-36.jpg" 10 "için"
"13354" "dist-orthm-36.jpg" 11 "<buraya>"
"13462" "dist-orthm-36.jpg" 12 "bakınız."
"3918" "dist-srcop-12.jpg" 1 "Psikoloğun"
"3922" "dist-srcop-12.jpg" 2 "hastanede"
"3924" "dist-srcop-12.jpg" 3 "dertlerini"
"3929" "dist-srcop-12.jpg" 4 "dinleyen"
"3930" "dist-srcop-12.jpg" 5 "hasta"
"3934" "dist-srcop-12.jpg" 6 "değildi."
"4024" "dist-srcop-12.jpg" 7 "Devam"
"4023" "dist-srcop-12.jpg" 8 "etmek"
"4093" "dist-srcop-12.jpg" 9 "için"
"3935" "dist-srcop-12.jpg" 10 "<buraya>"
"3936" "dist-srcop-12.jpg" 11 "bakınız."
"5297" "dist-srcop-15.jpg" 1 "Caddede"
"5287" "dist-srcop-15.jpg" 2 "trafiğin"
"5289" "dist-srcop-15.jpg" 3 "sıkışmasını"
"5290" "dist-srcop-15.jpg" 4 "engelleyen"
"5293" "dist-srcop-15.jpg" 5 "polis"
"5294" "dist-srcop-15.jpg" 6 "değildi."
"6242" "dist-srcop-15.jpg" 9 "için"
"5298" "dist-srcop-15.jpg" 10 "<buraya>"
"6557" "dist-srcop-18.jpg" 1 "Şehirlerarası"
